,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
728,HHHHH,H,37,62,0.007468712151796528,0.5967741935483871,0.06676177552487211,0.0026599029489618752
710,HHHDH,H,21,29,0.004238998788857489,0.7241379310344828,0.055404149777980895,0.0022228281401737845
433,UHUDD,U,15,20,0.0030278562777553493,0.75,0.04765387925779508,0.001703169156237384
279,UDUUD,D,20,33,0.004037141703673799,0.6060606060606061,0.049464659583192225,0.0014828803319279337
701,HHUHH,H,25,50,0.005046427129592248,0.5,0.050231599265762227,0.001261606782398062
692,HHUUH,H,20,36,0.004037141703673799,0.5555555555555556,0.04735880596088757,0.0012460313900227776
404,UUHHH,H,18,31,0.0036334275333064193,0.5806451612903226,0.04593182030045625,0.0012250057448400416
473,UHHUU,H,15,24,0.0030278562777553493,0.625,0.04350184103686985,0.0011827563584981833
698,HHUHU,H,15,24,0.0030278562777553493,0.625,0.04350184103686985,0.0011827563584981833
241,DHHHH,U,15,25,0.0030278562777553493,0.6,0.04262292536479881,0.0010900282599919256
