lambda,antecedent,consequent,support,confidence,utility
0.0,HHHHH,H,0.007468712151796528,0.5967741935483871,0.007468712151796528
0.05,HHHHH,H,0.007468712151796528,0.5967741935483871,0.009297665924760185
0.1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.011574497703416344
0.15,HHHHH,H,0.007468712151796528,0.5967741935483871,0.014408884785763661
0.2,HHHHH,H,0.007468712151796528,0.5967741935483871,0.017937362474756136
0.25,HHHHH,H,0.007468712151796528,0.5967741935483871,0.022329901122443967
0.3,HHHHH,H,0.007468712151796528,0.5967741935483871,0.027798093774369318
0.35,HHHHH,H,0.007468712151796528,0.5967741935483871,0.03460534882135902
0.4,HHHHH,H,0.007468712151796528,0.5967741935483871,0.04307957864909764
0.45,HHHHH,H,0.007468712151796528,0.5967741935483871,0.05362899551061094
0.5,HHHHH,H,0.007468712151796528,0.5967741935483871,0.0667617755248721
0.55,HHHHH,H,0.007468712151796528,0.5967741935483871,0.08311053803630411
0.6,HHHHH,H,0.007468712151796528,0.5967741935483871,0.1034628195307749
0.65,HHHHH,H,0.007468712151796528,0.5967741935483871,0.1287990100675533
0.7,HHHHH,H,0.007468712151796528,0.5967741935483871,0.16033957966366116
0.75,HHHDH,H,0.004238998788857489,0.7241379310344828,0.20030039039141104
0.8,HHHDH,H,0.004238998788857489,0.7241379310344828,0.25900592314053633
0.85,HHHDH,H,0.004238998788857489,0.7241379310344828,0.3349173113981008
0.9,HHHDH,H,0.004238998788857489,0.7241379310344828,0.4330773756601287
0.95,UHUDD,U,0.0030278562777553493,0.75,0.5693311721624403
1.0,DHHUD,H,0.0014129995962858296,0.7777777777777778,0.7777777777777778
